bought_id,product_name,buy_date,buy_price,expiration_date,sold_id,sell_date,sell_price,status
1,banana,2022-09-01,0.25,2022-09-08,11.0,2022-09-01,0.7,sold
1142,potato,2022-09-19,0.9,2023-01-01,534.0,2022-09-21,0.9,sold
1141,apple,2022-09-19,0.12,2022-11-11,533.0,2022-09-21,0.5,sold
1140,apple,2022-09-19,0.12,2022-11-11,532.0,2022-09-21,0.5,sold
1139,apple,2022-09-19,0.12,2022-11-11,531.0,2022-09-21,0.5,sold
1138,apple,2022-09-19,0.12,2022-11-11,530.0,2022-09-21,0.5,sold
1137,apple,2022-09-19,0.12,2022-11-11,529.0,2022-09-21,0.5,sold
1136,apple,2022-09-19,0.12,2022-11-11,528.0,2022-09-21,0.5,sold
1135,apple,2022-09-19,0.12,2022-11-11,527.0,2022-09-21,0.5,sold
1134,apple,2022-09-19,0.12,2022-11-11,526.0,2022-09-21,0.5,sold
1133,apple,2022-09-19,0.12,2022-11-11,525.0,2022-09-21,0.5,sold
1132,apple,2022-09-19,0.12,2022-11-11,524.0,2022-09-21,0.5,sold
1131,apple,2022-09-19,0.12,2022-11-11,523.0,2022-09-21,0.5,sold
1130,apple,2022-09-19,0.12,2022-11-11,522.0,2022-09-21,0.5,sold
1129,apple,2022-09-19,0.12,2022-11-11,521.0,2022-09-21,0.5,sold
1128,apple,2022-09-19,0.12,2022-11-11,520.0,2022-09-21,0.5,sold
1127,apple,2022-09-19,0.12,2022-11-11,519.0,2022-09-21,0.5,sold
1126,apple,2022-09-19,0.12,2022-11-11,518.0,2022-09-21,0.5,sold
1125,apple,2022-09-19,0.12,2022-11-11,517.0,2022-09-21,0.5,sold
1124,apple,2022-09-19,0.12,2022-11-11,516.0,2022-09-21,0.5,sold
1123,apple,2022-09-19,0.12,2022-11-11,515.0,2022-09-21,0.5,sold
1122,apple,2022-09-19,0.12,2022-11-11,514.0,2022-09-21,0.5,sold
1121,apple,2022-09-19,0.12,2022-11-11,513.0,2022-09-21,0.5,sold
1120,apple,2022-09-19,0.12,2022-11-11,512.0,2022-09-21,0.5,sold
1142,potato,2022-09-19,0.9,2023-01-01,708.0,2022-09-20,1.25,sold
1143,potato,2022-09-19,0.9,2023-01-01,535.0,2022-09-21,0.9,sold
1143,potato,2022-09-19,0.9,2023-01-01,709.0,2022-09-20,1.25,sold
1144,potato,2022-09-19,0.9,2023-01-01,536.0,2022-09-21,0.9,sold
1160,apple,2022-09-22,0.12,2023-01-01,1162.0,2022-10-05,0.5,sold
1159,apple,2022-09-22,0.12,2023-01-01,1161.0,2022-10-05,0.5,sold
1158,apple,2022-09-22,0.12,2023-01-01,1160.0,2022-10-05,0.5,sold
1157,apple,2022-09-22,0.12,2023-01-01,1159.0,2022-10-05,0.5,sold
1156,apple,2022-09-22,0.12,2023-01-01,1158.0,2022-10-05,0.5,sold
1155,apple,2022-09-22,0.12,2023-01-01,1157.0,2022-10-05,0.5,sold
1154,apple,2022-09-22,0.12,2023-01-01,1156.0,2022-10-05,0.5,sold
1153,apple,2022-09-22,0.12,2023-01-01,1155.0,2022-10-05,0.5,sold
1152,apple,2022-09-22,0.12,2023-01-01,1154.0,2022-10-05,0.5,sold
1151,potato,2022-09-19,0.9,2023-01-01,717.0,2022-09-20,1.25,sold
1151,potato,2022-09-19,0.9,2023-01-01,543.0,2022-09-21,0.9,sold
1119,apple,2022-09-19,0.12,2022-11-11,511.0,2022-09-21,0.5,sold
1150,potato,2022-09-19,0.9,2023-01-01,716.0,2022-09-20,1.25,sold
1149,potato,2022-09-19,0.9,2023-01-01,715.0,2022-09-20,1.25,sold
1149,potato,2022-09-19,0.9,2023-01-01,541.0,2022-09-21,0.9,sold
1148,potato,2022-09-19,0.9,2023-01-01,714.0,2022-09-20,1.25,sold
1148,potato,2022-09-19,0.9,2023-01-01,540.0,2022-09-21,0.9,sold
1147,potato,2022-09-19,0.9,2023-01-01,713.0,2022-09-20,1.25,sold
1147,potato,2022-09-19,0.9,2023-01-01,539.0,2022-09-21,0.9,sold
1146,potato,2022-09-19,0.9,2023-01-01,712.0,2022-09-20,1.25,sold
1146,potato,2022-09-19,0.9,2023-01-01,538.0,2022-09-21,0.9,sold
1145,potato,2022-09-19,0.9,2023-01-01,711.0,2022-09-20,1.25,sold
1145,potato,2022-09-19,0.9,2023-01-01,537.0,2022-09-21,0.9,sold
1144,potato,2022-09-19,0.9,2023-01-01,710.0,2022-09-20,1.25,sold
1150,potato,2022-09-19,0.9,2023-01-01,542.0,2022-09-21,0.9,sold
1161,apple,2022-09-22,0.12,2023-01-01,1163.0,2022-10-05,0.5,sold
1118,apple,2022-09-19,0.12,2022-11-11,510.0,2022-09-21,0.5,sold
1116,apple,2022-09-19,0.12,2022-11-11,508.0,2022-09-21,0.5,sold
1094,apple,2022-09-19,0.12,2022-11-11,690.0,2022-09-20,0.5,sold
1094,apple,2022-09-19,0.12,2022-11-11,486.0,2022-09-21,0.5,sold
1093,apple,2022-09-19,0.12,2022-11-11,689.0,2022-09-20,0.5,sold
1093,apple,2022-09-19,0.12,2022-11-11,485.0,2022-09-21,0.5,sold
1092,apple,2022-09-19,0.12,2022-11-11,688.0,2022-09-20,0.5,sold
1092,apple,2022-09-19,0.12,2022-11-11,484.0,2022-09-21,0.5,sold
1091,apple,2022-09-19,0.12,2022-11-11,687.0,2022-09-20,0.5,sold
1091,apple,2022-09-19,0.12,2022-11-11,483.0,2022-09-21,0.5,sold
1090,apple,2022-09-19,0.12,2022-11-11,686.0,2022-09-20,0.5,sold
1090,apple,2022-09-19,0.12,2022-11-11,482.0,2022-09-21,0.5,sold
1089,apple,2022-09-19,0.12,2022-11-11,685.0,2022-09-20,0.5,sold
1089,apple,2022-09-19,0.12,2022-11-11,481.0,2022-09-21,0.5,sold
1088,apple,2022-09-19,0.12,2022-11-11,684.0,2022-09-20,0.5,sold
1088,apple,2022-09-19,0.12,2022-11-11,480.0,2022-09-21,0.5,sold
1087,apple,2022-09-19,0.12,2022-11-11,683.0,2022-09-20,0.5,sold
1087,apple,2022-09-19,0.12,2022-11-11,479.0,2022-09-21,0.5,sold
1086,apple,2022-09-19,0.12,2022-11-11,682.0,2022-09-20,0.5,sold
1086,apple,2022-09-19,0.12,2022-11-11,478.0,2022-09-21,0.5,sold
1085,apple,2022-09-19,0.12,2022-11-11,681.0,2022-09-20,0.5,sold
1085,apple,2022-09-19,0.12,2022-11-11,477.0,2022-09-21,0.5,sold
1084,apple,2022-09-19,0.12,2022-11-11,680.0,2022-09-20,0.5,sold
1084,apple,2022-09-19,0.12,2022-11-11,476.0,2022-09-21,0.5,sold
1083,apple,2022-09-19,0.12,2022-11-11,679.0,2022-09-20,0.5,sold
1095,apple,2022-09-19,0.12,2022-11-11,487.0,2022-09-21,0.5,sold
1095,apple,2022-09-19,0.12,2022-11-11,691.0,2022-09-20,0.5,sold
1096,apple,2022-09-19,0.12,2022-11-11,488.0,2022-09-21,0.5,sold
1096,apple,2022-09-19,0.12,2022-11-11,692.0,2022-09-20,0.5,sold
1115,apple,2022-09-19,0.12,2022-11-11,507.0,2022-09-21,0.5,sold
1114,apple,2022-09-19,0.12,2022-11-11,506.0,2022-09-21,0.5,sold
1113,apple,2022-09-19,0.12,2022-11-11,505.0,2022-09-21,0.5,sold
1112,apple,2022-09-19,0.12,2022-11-11,504.0,2022-09-21,0.5,sold
1111,apple,2022-09-19,0.12,2022-11-11,503.0,2022-09-21,0.5,sold
1110,apple,2022-09-19,0.12,2022-11-11,502.0,2022-09-21,0.5,sold
1109,apple,2022-09-19,0.12,2022-11-11,501.0,2022-09-21,0.5,sold
