bought_id,product_name,buy_date,buy_price,expiration_date,sold_id,sell_date,sell_price,status
903,potato,2022-09-16,0.1,2023-12-01,355.0,2022-09-18,0.2,sold
911,potato,2022-09-16,0.1,2023-12-01,363.0,2022-09-18,0.2,sold
910,potato,2022-09-16,0.1,2023-12-01,362.0,2022-09-18,0.2,sold
909,potato,2022-09-16,0.1,2023-12-01,361.0,2022-09-18,0.2,sold
908,potato,2022-09-16,0.1,2023-12-01,360.0,2022-09-18,0.2,sold
907,potato,2022-09-16,0.1,2023-12-01,359.0,2022-09-18,0.2,sold
906,potato,2022-09-16,0.1,2023-12-01,358.0,2022-09-18,0.2,sold
905,potato,2022-09-16,0.1,2023-12-01,357.0,2022-09-18,0.2,sold
904,potato,2022-09-16,0.1,2023-12-01,356.0,2022-09-18,0.2,sold
902,potato,2022-09-16,0.1,2023-12-01,354.0,2022-09-18,0.2,sold
611,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
610,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
609,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
608,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
597,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
606,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
605,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
612,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
607,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
613,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
619,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
615,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
616,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
617,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
618,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
604,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
620,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
621,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
622,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
623,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
614,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
603,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
596,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
601,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
579,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
580,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
581,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
582,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
583,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
584,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
586,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
587,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
588,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
602,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
589,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
591,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
592,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
593,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
594,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
595,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
624,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
598,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
599,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
600,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
590,milk,2022-09-16,0.9,2022-09-18,,,0.0,expired
